year,geography,state,source_family,table_id,table_title,variable_id,variable_path,source_label,value,unit,value_type,universe,publication_or_dataset,printed_page,official_source_url,notes
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019058,Total!!Asia!!Western Asia!!Iraq,Iraq,302,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019059,Total!!Asia!!Western Asia!!Israel,Israel,3070,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019060,Total!!Asia!!Western Asia!!Jordan,Jordan,758,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019061,Total!!Asia!!Western Asia!!Lebanon,Lebanon,1758,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019062,Total!!Asia!!Western Asia!!Syria,Syria,1644,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019063,Total!!Asia!!Western Asia!!Turkey,Turkey,3333,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019064,Total!!Asia!!Western Asia!!Armenia,Armenia,385,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019065,Total!!Asia!!Western Asia!!Other Western Asia,Other Western Asia,1005,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019066,"Total!!Asia!!Asia, n.e.c.","Asia, n.e.c.",279,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
2000,Bergen County,New Jersey,SF3,PCT19,Place of Birth for the Foreign-Born Population,PCT019067,Total!!Africa,Africa,4874,persons,reported,Foreign-born population,Census 2000 Summary File 3 (SF 3),,https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,SF3 sample data; n.e.c. = not elsewhere classified.
