year,source_period,geography,european_group,group_type,european_subregion,hierarchy_level,population,margin_of_error,unit,measure_scope,historical_comparability,standard_variable,parent_label,source_label,table_id,table,crosswalk_id,publication,official_source_url,source_file,verification_status,notes
2000,2000,Bergen County,Belarus,country_or_area,Eastern Europe,2,437,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_eastern_europe_belarus,Europe > Eastern Europe,Belarus,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-036,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Bosnia and Herzegovina,country_or_area,Eastern Europe,2,197,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_eastern_europe_bosnia_and_herzegovina,Europe > Eastern Europe,Bosnia and Herzegovina,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-039,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Czechoslovakia,legacy_multi_country_area,Eastern Europe,2,668,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_czechoslovakia,Europe > Eastern Europe,Czechoslovakia,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-032,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Hungary,country_or_area,Eastern Europe,2,1163,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_hungary,Europe > Eastern Europe,Hungary,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-033,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Other Eastern Europe,residual_category,Eastern Europe,2,6047,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_eastern_europe_other_eastern_europe,Europe > Eastern Europe,Other Eastern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-041,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Poland,country_or_area,Eastern Europe,2,13737,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_poland,Europe > Eastern Europe,Poland,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-034,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Romania,country_or_area,Eastern Europe,2,1222,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_romania,Europe > Eastern Europe,Romania,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-035,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Russia,country_or_area,Eastern Europe,2,5258,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_eastern_europe_russia,Europe > Eastern Europe,Russia,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-037,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Ukraine,country_or_area,Eastern Europe,2,2770,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_eastern_europe_ukraine,Europe > Eastern Europe,Ukraine,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-038,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Yugoslavia,legacy_multi_country_area,Eastern Europe,2,1355,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_yugoslavia,Europe > Eastern Europe,Yugoslavia,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-040,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Ireland,country_or_area,Northern Europe,2,3349,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_ireland,Europe > Northern Europe,Ireland,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-016,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
2000,2000,Bergen County,Other Northern Europe,residual_category,Northern Europe,2,463,,persons,foreign_born_population,unknown,foreign_born_country_of_birth_europe_northern_europe_other_northern_europe,Europe > Northern Europe,Other Northern Europe,PCT19,PCT19: Place of Birth for the Foreign-Born Population,BC-2000-018,Census 2000 Summary File 3 (SF 3),https://api.census.gov/data/2000/dec/sf3/groups/PCT019.html,bergen_county_2000_immigration_tables.csv,,SF3 sample data; n.e.c. = not elsewhere classified.
